index,0,1,2,3,4,5,6,7
171,0.012,0.009,0.022,0.025,0.064,0.024,0.004,0.013
172,0.012,0.009,0.023,0.025,0.064,0.024,0.004,0.013
173,0.012,0.009,0.023,0.025,0.064,0.024,0.004,0.014
174,0.012,0.01,0.023,0.025,0.064,0.024,0.004,0.014
175,0.012,0.01,0.023,0.025,0.064,0.024,0.004,0.015
176,0.012,0.01,0.023,0.025,0.064,0.024,0.004,0.016
177,0.012,0.01,0.023,0.025,0.065,0.024,0.004,0.016
178,0.012,0.01,0.023,0.025,0.066,0.024,0.004,0.016
179,0.012,0.01,0.023,0.026,0.066,0.024,0.004,0.016
180,0.012,0.01,0.023,0.026,0.066,0.025,0.004,0.016
181,0.012,0.01,0.024,0.026,0.066,0.025,0.004,0.016
182,0.012,0.01,0.024,0.026,0.066,0.025,0.004,0.017
183,0.012,0.011,0.024,0.026,0.066,0.025,0.004,0.017
184,0.012,0.011,0.025,0.026,0.066,0.025,0.004,0.017
185,0.012,0.011,0.025,0.026,0.066,0.025,0.004,0.018
186,0.012,0.011,0.025,0.026,0.067,0.025,0.004,0.018
187,0.012,0.011,0.025,0.027,0.067,0.025,0.004,0.018
188,0.012,0.011,0.025,0.027,0.067,0.025,0.005,0.018
189,0.013,0.011,0.025,0.027,0.067,0.025,0.005,0.018
190,0.013,0.011,0.025,0.027,0.067,0.026,0.005,0.018
191,0.013,0.011,0.026,0.027,0.067,0.026,0.005,0.018
192,0.013,0.011,0.026,0.027,0.068,0.026,0.005,0.018
193,0.013,0.011,0.026,0.028,0.068,0.026,0.005,0.018
194,0.014,0.011,0.026,0.028,0.068,0.026,0.005,0.018
195,0.014,0.012,0.026,0.028,0.068,0.026,0.005,0.018
196,0.014,0.012,0.026,0.028,0.069,0.026,0.005,0.018
197,0.014,0.012,0.026,0.028,0.07,0.026,0.005,0.018
198,0.014,0.012,0.026,0.028,0.071,0.026,0.005,0.018
199,0.014,0.012,0.026,0.029,0.071,0.026,0.005,0.018
200,0.014,0.012,0.026,0.029,0.071,0.026,0.006,0.018
201,0.015,0.012,0.026,0.029,0.071,0.026,0.006,0.018
202,0.015,0.013,0.026,0.029,0.071,0.026,0.006,0.018
203,0.015,0.013,0.026,0.029,0.071,0.026,0.006,0.019
204,0.015,0.013,0.026,0.029,0.072,0.026,0.006,0.019
205,0.015,0.013,0.026,0.03,0.072,0.026,0.006,0.019
206,0.015,0.013,0.026,0.03,0.072,0.027,0.006,0.019
207,0.015,0.013,0.027,0.03,0.072,0.027,0.006,0.019
208,0.015,0.013,0.027,0.03,0.072,0.027,0.006,0.02
209,0.015,0.013,0.027,0.03,0.073,0.027,0.006,0.02
210,0.015,0.013,0.027,0.03,0.074,0.027,0.006,0.02
211,0.015,0.013,0.027,0.03,0.075,0.027,0.006,0.02
212,0.015,0.013,0.027,0.031,0.075,0.027,0.006,0.02
213,0.015,0.013,0.027,0.031,0.075,0.028,0.006,0.02
214,0.015,0.013,0.028,0.031,0.075,0.028,0.006,0.02
215,0.015,0.013,0.028,0.031,0.075,0.028,0.006,0.021
216,0.015,0.013,0.028,0.031,0.076,0.028,0.006,0.021
217,0.015,0.013,0.028,0.031,0.077,0.028,0.006,0.021
218,0.015,0.013,0.028,0.032,0.077,0.028,0.006,0.021
219,0.015,0.013,0.028,0.032,0.077,0.028,0.007,0.021
220,0.016,0.013,0.028,0.032,0.077,0.028,0.007,0.021
221,0.016,0.013,0.028,0.032,0.077,0.029,0.007,0.021
222,0.016,0.013,0.029,0.032,0.077,0.029,0.007,0.021
223,0.016,0.013,0.029,0.032,0.077,0.029,0.007,0.022
224,0.016,0.013,0.029,0.032,0.077,0.029,0.007,0.023
